time, cycle, y, x, tag
210212244,315618,12,31,8c7c0000
210212910,315619,15,20,8f500000
210216240,315624,14,21,8e540000
210219570,315629,11,22,b580001
210224232,315636,13,26,d680001
210225564,315638,13,30,8d780000
210227562,315641,15,24,8f600000
210228894,315643,14,20,e500001
210229560,315644,13,19,d4c0001
210232890,315649,14,25,8e640000
210235554,315653,15,17,f440001
210237552,315656,13,21,d540001
210240216,315660,13,29,d740001
210240882,315661,14,29,8e740000
210241548,315662,13,25,8d640000
210243546,315665,15,26,8f680000
210244878,315667,14,18,e480001
210251538,315677,13,24,d600001
210252204,315678,12,27,c6c0001
210255534,315683,15,19,8f4c0000
210257532,315686,12,22,c580001
210405384,315908,9,31,97c0001
210570552,316156,14,27,8e6c0000
210573216,316160,10,25,a640001
211056066,316885,11,25,b640001
211147308,317022,10,30,a780001
211173282,317061,14,23,e5c0001
211173948,317062,13,28,8d700000
211175280,317064,15,29,8f740000
211177278,317067,14,19,8e4c0000
211181940,317074,13,27,d6c0001
211183272,317076,15,18,f480001
211193928,317092,14,26,e680001
211194594,317093,15,20,f500001
211195260,317094,14,30,8e780000
211198590,317099,12,25,c640001
211200588,317102,15,21,8f540000
211201920,317104,13,22,d580001
211204584,317108,14,22,8e580000
211207914,317113,15,23,f5c0001
211210578,317117,15,22,8f580000
211212576,317120,14,21,e540001
211215240,317124,14,29,e740001
211216572,317126,14,19,e4c0001
211219902,317131,15,26,f680001
211221234,317133,15,27,8f6c0000
211224564,317138,14,24,e600001
211225230,317139,15,25,8f640000
211228560,317144,14,28,8e700000
211233222,317151,15,21,f540001
211235886,317155,15,29,f740001
211237218,317157,15,19,f4c0001
211245210,317169,15,30,8f780000
211245876,317170,14,27,e6c0001
211248540,317174,14,22,e580001
211249206,317175,15,28,8f700000
211263858,317197,15,24,f600001
211265190,317199,15,31,8f7c0000
211271850,317209,15,27,f6c0001
211274514,317213,15,22,f580001
211279176,317220,14,31,8e7c0000
211321800,317284,15,25,f640001
211333122,317301,15,30,f780001
211415706,317425,14,30,e780001
211419036,317430,15,28,f700001
211637484,317758,13,31,8d7c0000
211730724,317898,11,30,b780001
211784004,317978,14,25,e640001
212210910,318619,10,28,a700001
212242212,318666,12,30,c780001
212247540,318674,13,30,d780001
212602518,319207,15,31,f7c0001
212608512,319216,11,28,b700001
212683104,319328,14,28,e700001
212796990,319499,13,25,d640001
213430356,320450,12,28,c700001
213938514,321213,13,28,d700001
214006446,321315,14,31,e7c0001
214920198,322687,10,31,a7c0001
215720064,323888,11,31,b7c0001
215861922,324101,12,31,c7c0001
216360090,324849,13,31,d7c0001
